sentences
talk is talks
write is writes
decrease is decreases
describe is describes
eat is eats
enhance is enhances
estimate is estimates
find is finds
generate is generates
search is searches
go is goes
implement is implements
increase is increases
listen is listens
provide is provides
lion is lions
monkey is monkeys
mouse is mice
onion is onions
pear is pears
pig is pigs
elephant is elephants
eye is eyes
dream is dreams
eagle is eagles
woman is women
banana is bananas
bird is birds
bottle is bottles
building is buildings
writing is wrote
dancing is danced
decreasing is decreased
reading is read
increasing is increased
falling is fell
generating is generated
England is English
Greece is Greek
Ukraine is Ukrainian
Israel is Israeli
read is reading
run is running
see is seeing
shuffle is shuffling
sing is singing
vanish is vanishing
walk is walking
write is writing
dance is dancing
debug is debugging
decrease is decreasing
increase is increasing
invent is inventing
look is looking
move is moving
describe is describing
discover is discovering
enhance is enhancing
fly is flying
implement is implementing
small is smallest
smart is smartest
strange is strangest
strong is strongest
bad is worst
cold is coldest
cool is coolest
quick is quickest
sharp is sharpest
simple is simplest
short is shortest
slow is slowest
fast is fastest
good is best
great is greatest
high is highest
long is longest
low is lowest
tall is taller
bad is worse
big is bigger
bright is brighter
cheap is cheaper
cold is colder
cool is cooler
deep is deeper
safe is safer
sharp is sharper
short is shorter
simple is simpler
slow is slower
small is smaller
smart is smarter
strong is stronger
good is better
great is greater
large is larger
long is longer
loud is louder
low is lower
new is newer
old is older
quick is quicker
easy is easier
fast is faster
efficient is inefficient
ethical is unethical
fortunate is unfortunate
informative is uninformative
informed is uninformed
known is unknown
pleasant is unpleasant
possible is impossible
rational is irrational
reasonable is unreasonable
responsible is irresponsible
acceptable is unacceptable
aware is unaware
certain is uncertain
clear is unclear
comfortable is uncomfortable
competitive is uncompetitive
consistent is inconsistent
convincing is unconvincing
Ljubljana is Slovenia
Luanda is Angola
Lusaka is Zambia
Managua is Nicaragua
Manama is Bahrain
Manila is Philippines
Caracas is Venezuela
Chisinau is Moldova
Conakry is Guinea
Copenhagen is Denmark
Dakar is Senegal
Damascus is Syria
Dublin is Ireland
Dushanbe is Tajikistan
Paris is France
boy is girl
brother is sister
brothers is sisters
dad is mom
father is mother
grandson is granddaughter
groom is bride
he is she
his is her
husband is wife
nephew is niece
policeman is policewoman
prince is princess
son is daughter
sons is daughters
stepbrother is stepsister
stepfather is stepmother
calm is calmly
cheerful is cheerfully
complete is completely
efficient is efficiently
furious is furiously
happy is happily
immediate is immediately
infrequent is infrequently
lucky is luckily
most is mostly
Kerala is India
japan is japanese
england is english
korea is korean
slovakia is slovakian
thailand is thai
ukraine is ukrainian
poland is polish
portugal is portuguese
israel is israeli
lisbon is portugal
ljubljana is slovenia
london is england
lusaka is zambia
managua is nicaragua
manama is bahrain
manila is philippines
chisinau is moldova
conakry is guinea
copenhagen is denmark
dakar is senegal
damascus is syria
dhaka is bangladesh
paris is france
oslo is norway
kerala is india
odisha is bhubaneswar
assam is dispur
kerala is thiruvananthapuram
russia is ruble
sweden is krona
iran is rial
usa is dollar
nigeria is naira
japan is yen
denmark is krone
